City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaitangata,NZ,2021-01-31 15:02:21,-46.2817,169.8464,61.0,91,100,1.99
68,Albany,US,2021-01-31 14:58:32,42.6001,-73.9662,9.0,63,98,3.58
69,Leiyang,CN,2021-01-31 15:02:22,26.4024,112.8591,53.4,70,65,2.66
70,Namibe,AO,2021-01-31 15:02:22,-15.1961,12.1522,77.49,66,98,10.94
71,Mankono,CI,2021-01-31 15:02:22,8.0586,-6.1897,99.46,11,59,5.64
72,Jamestown,US,2021-01-31 15:00:23,42.097,-79.2353,25.0,93,90,9.22
73,Copiapo,CL,2021-01-31 15:02:22,-27.3667,-70.3333,66.2,77,90,9.22
74,Brae,GB,2021-01-31 15:02:23,60.3964,-1.353,33.8,86,40,13.8
75,Mananjary,MG,2021-01-31 15:02:23,-21.2167,48.3333,83.39,75,30,9.37
76,Kruisfontein,ZA,2021-01-31 15:02:23,-34.0033,24.7314,79.0,60,0,7.0
77,Fortuna,US,2021-01-31 15:02:23,40.5982,-124.1573,53.01,93,90,26.46
78,San Cristobal,VE,2021-01-31 15:02:23,7.7669,-72.225,77.0,73,40,2.3
79,Arizona,US,2021-01-31 15:02:23,34.5003,-111.501,35.6,44,1,5.75
80,Klaksvik,FO,2021-01-31 15:02:23,62.2266,-6.589,28.4,69,75,4.61
81,Coquimbo,CL,2021-01-31 15:02:24,-29.9533,-71.3436,68.0,83,20,12.66
82,Tynda,RU,2021-01-31 15:02:24,55.1667,124.7167,-37.68,79,91,3.27
83,Sanmenxia,CN,2021-01-31 15:02:24,34.7747,111.1814,42.42,48,9,3.27
84,Alugan,PH,2021-01-31 15:02:24,12.2188,125.4808,78.24,82,86,16.73
85,Belyy Yar,RU,2021-01-31 15:02:24,53.6039,91.3903,-16.6,69,50,1.19
86,Puerto Leguizamo,CO,2021-01-31 15:02:24,-0.1934,-74.7819,82.65,61,97,1.86
87,Angoche,MZ,2021-01-31 15:02:25,-16.2325,39.9086,83.23,74,87,13.71
88,Hanstholm,DK,2021-01-31 15:02:25,57.1167,8.6167,36.0,86,0,16.89
89,Punta Arenas,CL,2021-01-31 14:59:22,-53.15,-70.9167,55.4,58,75,23.02
90,Puerto Ayora,EC,2021-01-31 15:02:25,-0.7393,-90.3518,80.6,74,0,12.66
91,Castro,BR,2021-01-31 15:02:25,-24.7911,-50.0119,70.95,80,100,7.25
92,Pathein,MM,2021-01-31 15:02:25,16.7833,94.7333,74.46,57,59,8.66
93,Belle Glade,US,2021-01-31 15:02:26,26.6845,-80.6676,73.0,77,50,5.01
