City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kapaa,US,22.0752,-159.319,71.6,56,1,5.75,light rain
80,Sitka,US,57.0531,-135.33,35.6,87,90,3.58,light rain
81,San Juan,AR,-31.5375,-68.5364,83.89,24,0,8.86,clear sky
82,Kavieng,PG,-2.5744,150.7967,83.3,72,73,4.05,light rain
83,Severo-Kurilsk,RU,50.6789,156.125,16.38,81,71,6.38,broken clouds
84,Dhidhdhoo,MV,6.8833,73.1,81.91,70,77,10.16,broken clouds
85,Poum,NC,-20.2333,164.0167,79.86,71,11,8.16,few clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,75,9.22,broken clouds
87,Cabo San Lucas,MX,22.8909,-109.9124,75.2,53,20,11.5,few clouds
88,Qaqortoq,GL,60.7167,-46.0333,12.2,57,0,5.75,clear sky
89,Kozan,TR,37.4552,35.8157,52.0,100,0,8.23,clear sky
90,Guerrero Negro,MX,27.9769,-114.0611,62.35,60,0,18.39,clear sky
91,Lebu,CL,-37.6167,-73.65,57.87,92,11,3.69,few clouds
92,Ishigaki,JP,24.3448,124.1572,73.4,64,20,2.3,few clouds
93,Pisco,PE,-13.7,-76.2167,71.6,83,0,10.36,clear sky
94,Cabildo,AR,-38.4842,-61.8954,75.0,45,0,1.99,clear sky
95,Hilo,US,19.7297,-155.09,75.2,64,90,10.36,light rain
96,Kouroussa,GN,10.65,-9.8833,76.66,19,0,1.61,clear sky
97,Butler,US,39.4501,-84.5666,34.0,59,1,4.61,clear sky
98,Carnarvon,AU,-24.8667,113.6333,82.4,100,90,24.16,overcast clouds
99,Ubala,CO,4.7478,-72.5369,84.6,52,100,7.25,overcast clouds
100,Alpena,US,45.0617,-83.4327,15.01,62,75,12.66,broken clouds
101,Walvis Bay,NA,-22.9575,14.5053,64.0,88,5,3.44,clear sky
102,Barrow,US,71.2906,-156.7887,-11.2,77,20,8.05,mist
103,Zambezi,ZM,-13.5432,23.1047,65.53,95,100,2.73,moderate rain
104,Uddevalla,SE,58.3478,11.9424,6.8,85,75,5.75,light rain
105,Bonga,ET,7.2833,36.2333,60.62,63,0,1.79,clear sky
106,Champerico,GT,14.3,-91.9167,80.6,78,75,9.22,broken clouds
107,Butaritari,KI,3.0707,172.7902,81.39,80,93,17.76,light rain
108,Bluff,NZ,-46.6,168.3333,60.35,71,33,2.04,scattered clouds
109,Loreto,MX,22.2667,-101.9667,67.19,19,0,12.62,clear sky
110,Loralai,PK,30.3705,68.598,39.58,58,0,1.7,clear sky
111,Vila Velha,BR,-20.3297,-40.2925,82.4,74,75,10.36,broken clouds
112,Longyearbyen,SJ,78.2186,15.6401,28.4,69,75,16.11,broken clouds
113,Vestmannaeyjar,IS,63.4427,-20.2734,41.0,68,97,27.49,overcast clouds
114,Ilulissat,GL,69.2167,-51.1,10.4,31,98,13.8,overcast clouds
115,Kalmunai,LK,7.4167,81.8167,75.58,88,81,8.28,broken clouds
116,Caucaia,BR,-3.7361,-38.6531,81.0,78,40,8.05,scattered clouds
117,Sobolevo,RU,54.4299,31.8996,-0.15,93,50,8.1,scattered clouds
118,Pawai,IN,24.2667,80.1667,55.87,74,0,2.89,clear sky
119,Sulangan,PH,11.1373,123.7228,80.56,79,97,11.14,overcast clouds
120,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,90,6.91,overcast clouds
121,Norman Wells,CA,65.282,-126.8329,-27.4,68,20,4.61,few clouds
122,Mendi,PG,-6.1761,143.6513,62.51,84,100,1.01,overcast clouds
123,Nsoko,SZ,-27.0333,31.95,75.2,100,3,4.61,clear sky
124,Acapulco,MX,16.8634,-99.8901,80.6,69,75,2.3,broken clouds
125,Ilkal,IN,15.9667,76.1333,64.63,51,0,9.69,clear sky
126,Anna,RU,51.4842,40.4299,11.14,93,100,13.6,overcast clouds
127,Harper,LR,4.375,-7.7169,79.14,89,0,8.39,clear sky
128,Arraial Do Cabo,BR,-22.9661,-42.0278,75.54,94,100,9.42,moderate rain
129,Adolfo Lopez Mateos,MX,28.4667,-107.3,60.01,9,0,10.0,clear sky
130,Dolgoye,RU,52.8,37.2167,3.83,95,100,10.63,overcast clouds
131,Kisarawe,TZ,-6.9,39.0667,78.8,89,20,5.75,few clouds
132,Nandigama,IN,16.7833,80.3,68.0,94,0,3.44,mist
133,Chokurdakh,RU,70.6333,147.9167,-19.62,86,0,11.65,clear sky
134,Cidreira,BR,-30.1811,-50.2056,68.02,73,0,14.12,clear sky
135,Brae,GB,60.3964,-1.353,33.8,64,90,23.02,overcast clouds
136,Upernavik,GL,72.7868,-56.1549,4.53,71,100,6.06,overcast clouds
137,Graaff-Reinet,ZA,-32.2522,24.5308,63.0,92,32,2.82,scattered clouds
138,Borkenes,NO,68.774,16.1739,30.99,74,75,8.05,light snow
139,Borogontsy,RU,62.6683,131.1683,-37.7,80,100,1.72,overcast clouds
140,Terra Santa,BR,-2.1042,-56.4869,81.63,69,100,3.11,overcast clouds
141,Khatanga,RU,71.9667,102.5,-34.22,78,4,7.09,clear sky
142,Ambon,ID,-3.6954,128.1814,87.8,62,20,5.75,few clouds
143,Coari,BR,-4.085,-63.1414,76.77,93,98,1.66,overcast clouds
144,Kodiak,US,57.79,-152.4072,39.2,65,40,12.66,scattered clouds
145,Toppenish,US,46.3774,-120.3087,53.6,47,1,8.05,clear sky
146,Naryan-Mar,RU,67.6713,53.087,-13.88,89,1,10.07,clear sky
147,Belaya Gora,RU,68.5333,146.4167,-15.88,89,100,4.79,overcast clouds
148,Kaitangata,NZ,-46.2817,169.8464,62.01,71,91,8.01,overcast clouds
149,Namatanai,PG,-3.6667,152.4333,82.83,70,96,4.79,overcast clouds
150,Tilichiki,RU,60.4667,166.1,5.43,96,100,8.66,light snow
151,Avera,US,33.194,-82.5271,51.8,40,75,5.75,broken clouds
152,Andilamena,MG,-17.0167,48.5833,62.24,97,44,1.72,scattered clouds
153,Narva-Joesuu,EE,59.4589,28.0408,11.17,94,99,13.29,overcast clouds
154,Hithadhoo,MV,-0.6,73.0833,81.79,80,100,15.14,overcast clouds
155,Bilma,NE,18.6853,12.9164,61.41,30,0,7.85,clear sky
156,Souillac,MU,-20.5167,57.5167,78.8,78,40,9.22,scattered clouds
157,Altay,CN,47.8667,88.1167,16.86,86,86,2.3,overcast clouds
158,Horsham,GB,51.064,-0.3272,44.01,93,75,1.14,broken clouds
159,Samana,DO,19.2056,-69.3369,75.38,86,0,7.14,clear sky
160,Tuatapere,NZ,-46.1333,167.6833,68.2,64,29,6.62,scattered clouds
161,Castro,BR,-24.7911,-50.0119,59.86,56,0,2.51,clear sky
162,Elko,US,41.0002,-115.5012,42.8,39,90,6.91,overcast clouds
163,San Vicente,AR,-26.6167,-54.1333,59.23,78,0,3.29,light rain
164,Mezen,RU,65.8522,44.24,-4.0,91,100,9.13,overcast clouds
165,Leningradskiy,RU,69.3833,178.4167,-9.06,87,100,8.14,overcast clouds
166,Padang,ID,-0.9492,100.3543,80.6,74,20,2.3,few clouds
